2101,Detonate the Maximum Bombs,https://leetcode.com/problems/detonate-the-maximum-bombs/,False,49.5%,Medium
1,Two Sum,https://leetcode.com/problems/two-sum/,False,50.0%,Easy
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,False,40.6%,Medium
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,False,33.8%,Medium
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,False,36.5%,Hard
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,False,32.4%,Medium
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,False,45.1%,Medium
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,False,27.6%,Medium
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,False,16.6%,Medium
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,False,53.8%,Easy
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,False,28.0%,Hard
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,False,54.0%,Medium
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,False,62.3%,Medium
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,False,58.6%,Easy
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,False,41.0%,Easy
15,3Sum,https://leetcode.com/problems/3sum/,False,32.7%,Medium
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,False,45.6%,Medium
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,False,56.9%,Medium
18,4Sum,https://leetcode.com/problems/4sum/,False,35.8%,Medium
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,False,41.5%,Medium
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,False,40.4%,Easy
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,False,62.7%,Easy
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,False,72.8%,Medium
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,False,50.1%,Hard
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,False,62.5%,Medium
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,False,55.1%,Hard
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,False,51.9%,Easy
27,Remove Element,https://leetcode.com/problems/remove-element/,False,53.4%,Easy
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,False,39.5%,Easy
